#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB	Pos	CH	292	14	4.8	PEAK
PBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX	Pos	CH	306	38	12.4	PEAK
PBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1	Pos	CH	849	21	2.5	PEAK
PBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB	Pos	CH	373	6	1.6	PEAK
PBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13	Pos	CH	1497	437	29.2	PEAK
PBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1	Pos	CH	392	20	5.1	PEAK
PBEH2_BCBC06_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_COSSB	Pos	CH	2563	120	4.7	PEAK
PBEH2_BCBC07_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX	Pos	CH	4652	430	9.2	PEAK
PBEH2_BCBC08_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_RH1	Pos	CH	4076	135	3.3	PEAK
PBEH2_BCBC09_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_NICKNTBSPQI11_COSSB	Pos	CH	2928	283	9.7	PEAK
PBEH2_BCBC10_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11	Pos	CH	2805	601	21.4	PEAK
PBEH2_BCBC11_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_RH1	Pos	CH	4036	228	5.6	PEAK
PBEH2_BCBC12_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_NT_COSSB	Pos	CH	563	11	2	PEAK
PBEH2_BCBC13_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX	Pos	CH	5012	166	3.3	PEAK
PBEH2_BCBC14_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_RH1	Pos	CH	217	10	4.6	PEAK
PBEH2_BCBC15_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_NT_NICKNTBSPQI08_COSSB	Pos	CH	574	19	3.3	PEAK
PBEH2_BCBC16_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08	Pos	CH	561	98	17.5	PEAK
PBEH2_BCBC17_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_RH1	Pos	CH	1666	55	3.3	PEAK
PBEH2_BCBC18_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB	Pos	CH	129	28	21.7	PEAK
PBEH2_BCBC19_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_COSSB	Pos	CH	267	70	26.2	PEAK
PBEH2_BCBC20_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_POSTSSB	Pos	CH	213	52	24.4	PEAK
PBEH2_BCBC21_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_COSSB_RH1	Pos	CH	98	11	11.2	PEAK
PBEH2_BCBC22_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_NICKNTBSPQI11_COSSB	Pos	CH	1850	94	5.1	PEAK
PBEH2_BCBC23_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_COSSB	Pos	CH	2732	1176	43	PEAK
PBEH2_BCBC24_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_POSTSSB	Pos	CH	2630	658	25	PEAK
PBEH2_BCBC25_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_COSSB_RH1	Pos	CH	2340	139	5.9	PEAK
PBEH2_BCBC26_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_NT_NICKNTBSPQI08_COSSB	Pos	CH	2210	39	1.8	PEAK
PBEH2_BCBC27_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_COSSB	Pos	CH	2468	247	10	PEAK
PBEH2_BCBC28_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_POSTSSB	Pos	CH	1563	538	34.4	PEAK
PBEH2_BCBC29_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_COSSB_RH1	Pos	CH	2304	126	5.5	PEAK
PBEH2_BCBC30_PLASMIDVR20F_1LOW1_DESCSUPERCOIL_NT	Pos	CH	260	86	33.1	PEAK
PBEH2_BCBC30_PLASMIDVR20F_1LOW2_DESCSUPERCOIL_NT	Pos	CH	84	23	27.4	PEAK
PBEH2_BCBC30_PLASMIDVR20F_1LOW3_DESCSUPERCOIL_NT	Pos	CH	43	18	41.9	PEAK
PBEH2_BCBC30_PLASMIDVR20F_2MED1_DESCSUPERCOIL_NT	Pos	CH	345	79	22.9	PEAK
PBEH2_BCBC30_PLASMIDVR20F_2MED2_DESCSUPERCOIL_NT	Pos	CH	170	45	26.5	PEAK
PBEH2_BCBC30_PLASMIDVR20F_2MED3_DESCSUPERCOIL_NT	Pos	CH	354	91	25.7	PEAK
PBEH2_BCBC30_PLASMIDVR20F_3HGH1_DESCSUPERCOIL_NT	Pos	CH	292	104	35.6	PEAK
PBEH2_BCBC30_PLASMIDVR20F_3HGH2_DESCSUPERCOIL_NT	Pos	CH	428	153	35.7	PEAK
PBEH2_BCBC30_PLASMIDVR20F_3HGH3_DESCSUPERCOIL_NT	Pos	CH	160	50	31.3	PEAK
PBEH2_BCBC31_PLASMIDVR20F_1LOW1_DESCSUPERCOIL_TX	Pos	CH	112	56	50	PEAK
PBEH2_BCBC31_PLASMIDVR20F_1LOW2_DESCSUPERCOIL_TX	Pos	CH	32	20	62.5	PEAK
