#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB	Neg	GH	1287	0	0	PEAK_TEMP
PBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX	Neg	GH	770	0	0	PEAK_TEMP
PBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1	Neg	GH	1911	0	0	PEAK_TEMP
PBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB	Neg	GH	1273	0	0	PEAK_TEMP
PBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13	Neg	GH	6380	30	0.5	PEAK_TEMP
PBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	GH	1373	2	0.1	PEAK_TEMP
PBEH2_BCBC06_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_COSSB	Neg	GH	9791	2	0	PEAK_TEMP
PBEH2_BCBC07_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX	Neg	GH	14836	5	0	PEAK_TEMP
PBEH2_BCBC08_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_RH1	Neg	GH	10931	5	0	PEAK_TEMP
PBEH2_BCBC09_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_NICKNTBSPQI11_COSSB	Neg	GH	11750	0	0	PEAK_TEMP
PBEH2_BCBC10_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11	Neg	GH	10348	1	0	PEAK_TEMP
PBEH2_BCBC11_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_RH1	Neg	GH	14921	15	0.1	PEAK_TEMP
PBEH2_BCBC12_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_NT_COSSB	Neg	GH	2068	0	0	PEAK_TEMP
PBEH2_BCBC13_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX	Neg	GH	18628	2	0	PEAK_TEMP
PBEH2_BCBC14_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_RH1	Neg	GH	729	2	0.3	PEAK_TEMP
PBEH2_BCBC15_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_NT_NICKNTBSPQI08_COSSB	Neg	GH	2412	1	0	PEAK_TEMP
PBEH2_BCBC16_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08	Neg	GH	2561	0	0	PEAK_TEMP
PBEH2_BCBC17_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_RH1	Neg	GH	7629	10	0.1	PEAK_TEMP
PBEH2_BCBC18_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB	Neg	GH	238	1	0.4	PEAK_TEMP
PBEH2_BCBC19_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_COSSB	Neg	GH	894	0	0	PEAK_TEMP
PBEH2_BCBC20_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_POSTSSB	Neg	GH	709	0	0	PEAK_TEMP
PBEH2_BCBC21_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_COSSB_RH1	Neg	GH	478	3	0.6	PEAK_TEMP
PBEH2_BCBC22_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_NICKNTBSPQI11_COSSB	Neg	GH	7650	2	0	PEAK_TEMP
PBEH2_BCBC23_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_COSSB	Neg	GH	6099	0	0	PEAK_TEMP
PBEH2_BCBC24_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_POSTSSB	Neg	GH	7637	2	0	PEAK_TEMP
PBEH2_BCBC25_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_COSSB_RH1	Neg	GH	9121	7	0.1	PEAK_TEMP
PBEH2_BCBC26_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_NT_NICKNTBSPQI08_COSSB	Neg	GH	12310	1	0	PEAK_TEMP
PBEH2_BCBC27_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_COSSB	Neg	GH	11155	10	0.1	PEAK_TEMP
PBEH2_BCBC28_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_POSTSSB	Neg	GH	9423	50	0.5	PEAK_TEMP
PBEH2_BCBC29_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_NICKNTBSPQI08_COSSB_RH1	Neg	GH	9567	25	0.3	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_1LOW1_DESCSUPERCOIL_NT	Neg	GH	548	0	0	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_1LOW2_DESCSUPERCOIL_NT	Neg	GH	375	2	0.5	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_1LOW3_DESCSUPERCOIL_NT	Neg	GH	321	5	1.6	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_2MED1_DESCSUPERCOIL_NT	Neg	GH	739	4	0.5	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_2MED2_DESCSUPERCOIL_NT	Neg	GH	441	0	0	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_2MED3_DESCSUPERCOIL_NT	Neg	GH	746	1	0.1	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_3HGH1_DESCSUPERCOIL_NT	Neg	GH	756	4	0.5	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_3HGH2_DESCSUPERCOIL_NT	Neg	GH	916	3	0.3	PEAK_TEMP
PBEH2_BCBC30_PLASMIDVR20F_3HGH3_DESCSUPERCOIL_NT	Neg	GH	504	1	0.2	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_1LOW1_DESCSUPERCOIL_TX	Neg	GH	142	7	4.9	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_1LOW2_DESCSUPERCOIL_TX	Neg	GH	86	0	0	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_1LOW3_DESCSUPERCOIL_TX	Neg	GH	88	2	2.3	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_2MED1_DESCSUPERCOIL_TX	Neg	GH	237	11	4.6	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_2MED2_DESCSUPERCOIL_TX	Neg	GH	127	6	4.7	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_2MED3_DESCSUPERCOIL_TX	Neg	GH	229	8	3.5	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_3HGH1_DESCSUPERCOIL_TX	Neg	GH	200	8	4	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_3HGH2_DESCSUPERCOIL_TX	Neg	GH	203	8	3.9	PEAK_TEMP
PBEH2_BCBC31_PLASMIDVR20F_3HGH3_DESCSUPERCOIL_TX	Neg	GH	155	6	3.9	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_1LOW1_DESCSUPERCOIL_TX_RH1	Neg	GH	641	10	1.6	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_1LOW2_DESCSUPERCOIL_TX_RH1	Neg	GH	337	7	2.1	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_1LOW3_DESCSUPERCOIL_TX_RH1	Neg	GH	341	10	2.9	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_2MED1_DESCSUPERCOIL_TX_RH1	Neg	GH	838	13	1.6	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_2MED2_DESCSUPERCOIL_TX_RH1	Neg	GH	522	10	1.9	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_2MED3_DESCSUPERCOIL_TX_RH1	Neg	GH	803	2	0.2	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_3HGH1_DESCSUPERCOIL_TX_RH1	Neg	GH	831	9	1.1	PEAK_TEMP
