Sample_ID	Experiment	Experiment_name	Flow cell	Plasmid	Plasmid Loc	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA
PBEH2-0	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
PBEH2-1	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
PBEH2-2	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
PBEH2-3	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
PBEH2-4	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
PBEH2-5	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
PBEH2-6	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
PBEH2-7	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
PBEH2-8	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
PBEH2-9	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
PBEH2-10	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
PBEH2-11	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
PBEH2-12	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
PBEH2-13	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
PBEH2-14	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
PBEH2-15	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
PBEH2-16	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
PBEH2-17	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
PBEH2-18	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-
PBEH2-19	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-
PBEH2-20	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-
PBEH2-21	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-
PBEH2-22	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-
