sample_id	plasmid	description	strand	window	convert_type	filepath	call_type	bed_id
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Pos	20_0.55	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Pos_20_0.55_CH.PEAK.genome.bed	high	475
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Pos	20_0.55	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Pos_20_0.55_CG.PEAK.genome.bed	high	598
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Neg	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Neg_15_0.45_GC.PEAK.genome.bed	low	3742
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Neg	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Neg_15_0.45_CG.PEAK.genome.bed	low	4362
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Neg	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Neg_15_0.45_CH.PEAK.genome.bed	low	4927
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Neg	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Neg_15_0.45_GH.PEAK.genome.bed	low	6430
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Pos	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Pos_15_0.45_CG.PEAK.genome.bed	low	1588
0	PFC9_NTBSPQI_13	LINEARBSAI_NT_COSSB	Pos	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Pos_15_0.45_CH.PEAK.genome.bed	low	2635
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Pos	20_0.55	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_20_0.55_CG.PEAK.genome.bed	high	529
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Pos	20_0.55	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_20_0.55_CH.PEAK.genome.bed	high	545
