sample_id	plasmid	strand	call_type	filepath	read_count	Sample_ID	Experiment	Experiment_name	Flow cell	Plasmid	Plasmid Loc	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA
0	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1287	PBEH2-0	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
0	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	292	PBEH2-0	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
0	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	292	PBEH2-0	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
1	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	770	PBEH2-1	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
1	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	306	PBEH2-1	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
1	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	306	PBEH2-1	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
2	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1911	PBEH2-2	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
2	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	849	PBEH2-2	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
2	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	849	PBEH2-2	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
3	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-3_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1273	PBEH2-3	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
3	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-3_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	373	PBEH2-3	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
4	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	6380	PBEH2-4	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
4	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	6380	PBEH2-4	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
4	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	1497	PBEH2-4	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
4	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	1497	PBEH2-4	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
5	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	1373	PBEH2-5	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
5	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1373	PBEH2-5	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
