sample_id	plasmid	strand	call_type	filepath	read_count
0	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1287
0	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	292
0	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	292
1	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	770
1	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	306
1	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	306
2	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1911
2	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	849
2	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	849
3	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-3_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1273
3	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-3_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	373
4	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	6380
4	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	6380
4	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	1497
4	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	1497
5	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	1373
5	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	1373
5	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	392
6	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	9791
6	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	9791
6	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2563
6	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2563
7	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	14836
7	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	14836
7	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	4652
7	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	4652
8	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	10931
8	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	10931
8	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	4076
8	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	4076
9	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	11750
9	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2928
9	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2928
10	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	10348
10	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	10348
10	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2805
10	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2805
11	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	14921
11	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	14921
11	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	4036
11	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	4036
12	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	2068
12	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	563
12	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	563
13	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	18628
13	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	18628
13	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	5012
13	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	5012
14	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	729
14	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	729
14	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	217
14	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	217
15	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	2412
15	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	2412
15	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	574
15	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	574
16	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	2561
16	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	2561
16	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	561
16	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	561
17	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	7629
17	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	7629
17	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	1666
17	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	1666
18	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	238
18	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	238
18	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	129
18	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	129
19	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	894
19	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	267
19	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	267
20	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	709
20	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	709
20	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	213
20	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	213
21	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	478
21	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	478
21	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	98
21	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	98
22	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	7650
22	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	7650
22	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	1850
22	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	1850
23	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	6099
23	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	6099
23	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2732
23	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2732
24	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	7637
24	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	7637
24	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2630
24	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2630
25	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	9121
25	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	9121
25	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2340
25	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2340
26	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	12310
26	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	12310
26	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	2210
26	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	2210
27	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	11155
27	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	11155
27	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	2468
27	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	2468
28	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	9423
28	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	9423
28	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	1563
28	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	1563
29	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-29_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	9567
29	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-29_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	9567
29	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-29_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	2304
29	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-29_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	2304
30	VR20F_1LOW1	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW1_Strand_Neg_call_low.bed.tsv	548
30	VR20F_1LOW1	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW1_Strand_Pos_call_high.bed.tsv	260
30	VR20F_1LOW1	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW1_Strand_Pos_call_low.bed.tsv	260
30	VR20F_1LOW2	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW2_Strand_Neg_call_high.bed.tsv	375
30	VR20F_1LOW2	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW2_Strand_Neg_call_low.bed.tsv	375
30	VR20F_1LOW2	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW2_Strand_Pos_call_high.bed.tsv	84
30	VR20F_1LOW2	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW2_Strand_Pos_call_low.bed.tsv	84
30	VR20F_1LOW3	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW3_Strand_Neg_call_high.bed.tsv	321
30	VR20F_1LOW3	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW3_Strand_Neg_call_low.bed.tsv	321
30	VR20F_1LOW3	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW3_Strand_Pos_call_high.bed.tsv	43
30	VR20F_1LOW3	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_1LOW3_Strand_Pos_call_low.bed.tsv	43
30	VR20F_2MED1	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED1_Strand_Neg_call_high.bed.tsv	739
30	VR20F_2MED1	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED1_Strand_Neg_call_low.bed.tsv	739
30	VR20F_2MED1	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED1_Strand_Pos_call_high.bed.tsv	345
30	VR20F_2MED1	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED1_Strand_Pos_call_low.bed.tsv	345
30	VR20F_2MED2	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Neg_call_high.bed.tsv	441
30	VR20F_2MED2	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Neg_call_low.bed.tsv	441
30	VR20F_2MED2	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Pos_call_high.bed.tsv	170
30	VR20F_2MED2	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Pos_call_low.bed.tsv	170
30	VR20F_2MED3	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Neg_call_high.bed.tsv	746
30	VR20F_2MED3	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Neg_call_low.bed.tsv	746
30	VR20F_2MED3	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Pos_call_high.bed.tsv	354
30	VR20F_2MED3	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Pos_call_low.bed.tsv	354
30	VR20F_3HGH1	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Neg_call_high.bed.tsv	756
30	VR20F_3HGH1	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Neg_call_low.bed.tsv	756
30	VR20F_3HGH1	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Pos_call_high.bed.tsv	292
30	VR20F_3HGH1	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Pos_call_low.bed.tsv	292
