sample_id	plasmid	strand	call_type	filepath
0	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
0	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
0	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-0_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
1	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
1	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
1	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-1_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
2	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
2	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
2	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-2_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
3	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-3_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
3	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-3_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
4	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv
4	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
4	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
4	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-4_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
5	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv
5	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
5	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
6	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
6	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
6	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
6	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
7	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
7	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
7	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
7	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
8	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
8	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
8	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
8	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
9	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
9	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
9	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
10	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
10	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
10	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
10	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
11	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
11	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
11	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
11	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
12	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
12	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
12	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
13	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
13	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
13	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
13	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
14	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
14	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
14	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
14	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
