merge_path	call_type	sample_id	description	strand	window	percent	convert_type	file_type	plasmid	group_id
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Pos_20_0.55_CH.PEAK.genome.merge	high	0	PFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB	Pos	20	0.55	CH	PEAK	PFC9_NTBSPQI_13	0
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB_Pos_20_0.55_CG.PEAK.genome.merge	high	0	PFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB	Pos	20	0.55	CG	PEAK	PFC9_NTBSPQI_13	0
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_20_0.55_CG.PEAK.genome.merge	high	1	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX	Pos	20	0.55	CG	PEAK	PFC9_NTBSPQI_13	1
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_20_0.55_CH.PEAK.genome.merge	high	1	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX	Pos	20	0.55	CH	PEAK	PFC9_NTBSPQI_13	1
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Pos_20_0.55_CH.PEAK.genome.merge	high	2	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1	Pos	20	0.55	CH	PEAK	PFC9_NTBSPQI_13	2
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Pos_20_0.55_CG.PEAK.genome.merge	high	2	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1	Pos	20	0.55	CG	PEAK	PFC9_NTBSPQI_13	2
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_GH.PEAK.genome.merge	high	4	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13	Neg	20	0.55	GH	PEAK	PFC9_NTBSPQI_13	3
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_CH.PEAK.genome.merge	high	4	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13	Neg	20	0.55	CH	PEAK	PFC9_NTBSPQI_13	3
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_CG.PEAK.genome.merge	high	4	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13	Neg	20	0.55	CG	PEAK	PFC9_NTBSPQI_13	3
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_GC.PEAK.genome.merge	high	4	PFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13	Neg	20	0.55	GC	PEAK	PFC9_NTBSPQI_13	3
